"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	12	11	14	13	14	13
"disease_spot2"	11	15	14	14	10	14
"disease_spot3"	13	10	16	15	12	12
"disease_spot4"	13	12	15	12	12	11
"disease_spot5"	10	12	16	10	10	10
"disease_spot6"	13	15	10	11	10	15
"disease_spot7"	16	10	10	13	16	16
"disease_spot8"	13	15	16	15	13	13
"disease_spot9"	12	14	13	10	16	11
"disease_spot10"	14	15	11	12	13	15
"disease_spot11"	15	14	16	14	10	16
"disease_spot12"	10	13	12	15	14	16
"disease_spot13"	16	11	16	11	11	11
"disease_spot14"	12	15	15	12	12	12
"disease_spot15"	13	11	15	16	13	14
"disease_spot16"	15	15	15	15	14	15
"disease_spot17"	11	13	12	16	10	15
"disease_spot18"	15	11	11	14	10	14
"disease_spot19"	16	14	13	11	10	13
"disease_spot20"	13	11	11	15	16	13
"disease_spot21"	13	16	11	10	10	16
"disease_spot22"	16	10	13	11	13	12
"disease_spot23"	15	13	11	13	14	11
"disease_spot24"	16	16	14	14	13	11
"disease_spot25"	16	16	10	11	12	10
"disease_spot26"	10	12	10	14	14	15
"disease_spot27"	16	16	13	10	13	15
"disease_spot28"	10	11	16	16	16	16
"disease_spot29"	11	12	14	14	15	14
"disease_spot30"	10	16	11	13	16	13
"disease_spot31"	14	12	11	16	13	13
"disease_spot32"	12	10	15	12	15	11
"disease_spot33"	12	10	14	13	11	11
"disease_spot34"	11	14	13	15	11	10
"disease_spot35"	15	15	12	12	16	15
"disease_spot36"	16	11	13	10	11	11
"disease_spot37"	12	10	12	15	12	15
"disease_spot38"	13	10	16	13	14	13
"disease_spot39"	11	12	12	10	11	12
"disease_spot40"	13	14	13	16	12	15
"disease_spot41"	15	13	13	11	16	16
"disease_spot42"	15	10	10	15	13	16
"disease_spot43"	14	16	13	14	14	13
"disease_spot44"	11	10	13	16	11	15
"disease_spot45"	15	14	16	10	15	14
"disease_spot46"	13	14	14	15	16	16
"disease_spot47"	15	12	15	14	16	16
"disease_spot48"	11	14	12	12	12	15
"disease_spot49"	16	11	15	10	11	11
"disease_spot50"	15	11	10	12	16	14
