"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	16	16	13	15	11	12
"disease_spot2"	14	12	11	15	16	16
"disease_spot3"	13	16	16	15	13	12
"disease_spot4"	15	13	10	10	15	15
"disease_spot5"	14	13	10	11	11	15
"disease_spot6"	11	16	11	13	11	15
"disease_spot7"	13	14	11	16	15	12
"disease_spot8"	11	13	15	14	13	12
"disease_spot9"	11	13	14	10	14	11
"disease_spot10"	10	14	15	11	16	11
"disease_spot11"	14	16	14	14	13	12
"disease_spot12"	11	15	16	16	13	11
"disease_spot13"	14	10	11	14	14	14
"disease_spot14"	10	12	15	11	13	15
"disease_spot15"	13	10	16	13	14	11
"disease_spot16"	14	13	15	13	13	12
"disease_spot17"	11	13	12	11	10	16
"disease_spot18"	14	12	16	11	11	15
"disease_spot19"	11	10	14	13	14	15
"disease_spot20"	14	16	13	12	15	10
"disease_spot21"	10	12	13	11	16	16
"disease_spot22"	12	16	16	14	16	11
"disease_spot23"	15	16	10	10	12	12
"disease_spot24"	14	10	14	15	13	14
"disease_spot25"	11	15	16	14	10	13
"disease_spot26"	14	13	16	12	12	11
"disease_spot27"	10	10	10	14	12	15
"disease_spot28"	11	10	11	15	16	11
"disease_spot29"	14	11	16	14	16	10
"disease_spot30"	12	12	16	13	13	14
"disease_spot31"	13	11	15	13	10	10
"disease_spot32"	14	12	10	13	15	15
"disease_spot33"	11	16	15	16	12	11
"disease_spot34"	15	16	12	11	11	11
"disease_spot35"	10	14	10	14	13	11
"disease_spot36"	15	13	12	16	11	13
"disease_spot37"	11	13	13	10	13	13
"disease_spot38"	10	12	12	15	14	16
"disease_spot39"	16	12	15	15	12	15
"disease_spot40"	10	16	15	10	15	16
"disease_spot41"	10	16	12	14	10	11
"disease_spot42"	14	11	13	11	15	11
"disease_spot43"	16	15	12	13	13	11
"disease_spot44"	16	14	15	16	11	13
"disease_spot45"	16	11	15	15	15	11
"disease_spot46"	13	10	13	11	12	10
"disease_spot47"	11	10	13	14	16	13
"disease_spot48"	15	13	16	12	11	11
"disease_spot49"	13	16	11	13	16	16
"disease_spot50"	13	16	10	10	14	10
