"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	15	12	15	13	14	11
"disease_spot2"	14	14	14	13	14	16
"disease_spot3"	16	12	11	14	11	14
"disease_spot4"	11	11	13	13	16	14
"disease_spot5"	10	12	12	16	16	13
"disease_spot6"	15	13	16	10	13	16
"disease_spot7"	15	15	10	12	10	11
"disease_spot8"	16	11	14	14	11	14
"disease_spot9"	15	16	11	10	10	10
"disease_spot10"	16	15	16	15	12	12
"disease_spot11"	12	11	12	10	13	11
"disease_spot12"	15	10	10	12	13	14
"disease_spot13"	10	16	10	14	11	15
"disease_spot14"	11	15	14	15	10	13
"disease_spot15"	13	16	10	12	13	14
"disease_spot16"	10	10	16	16	11	12
"disease_spot17"	15	12	11	12	14	15
"disease_spot18"	13	16	12	15	11	16
"disease_spot19"	11	16	15	11	11	12
"disease_spot20"	11	15	16	10	11	13
"disease_spot21"	10	10	14	16	16	14
"disease_spot22"	12	11	10	13	16	11
"disease_spot23"	14	16	13	11	13	10
"disease_spot24"	10	14	13	10	16	15
"disease_spot25"	11	10	11	15	12	13
"disease_spot26"	12	14	14	10	16	11
"disease_spot27"	12	13	13	11	10	13
"disease_spot28"	13	16	14	13	12	14
"disease_spot29"	13	14	13	10	14	13
"disease_spot30"	14	13	13	14	14	11
"disease_spot31"	14	16	12	12	15	14
"disease_spot32"	10	13	14	15	14	10
"disease_spot33"	10	14	14	12	12	11
"disease_spot34"	10	16	11	13	14	13
"disease_spot35"	15	14	11	12	13	12
"disease_spot36"	15	10	16	12	12	16
"disease_spot37"	11	10	14	15	16	15
"disease_spot38"	14	16	12	12	15	12
"disease_spot39"	15	11	11	16	16	12
"disease_spot40"	15	10	15	16	13	10
"disease_spot41"	15	10	10	10	16	14
"disease_spot42"	12	16	13	14	12	14
"disease_spot43"	15	11	12	16	16	10
"disease_spot44"	11	10	10	10	12	13
"disease_spot45"	14	12	16	12	15	14
"disease_spot46"	10	16	14	14	14	11
"disease_spot47"	12	11	13	10	10	13
"disease_spot48"	15	16	12	16	12	11
"disease_spot49"	10	14	15	11	10	14
"disease_spot50"	15	11	16	11	14	15
