gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14	gene15	gene16	gene17	gene18	gene19	gene20	gene21	gene22	gene23	gene24	gene25	gene26	gene27	gene28	gene29	gene30	gene31	gene32	gene33	gene34	gene35	gene36	gene37	gene38	gene39	gene40	gene41	gene42	gene43	gene44	gene45	gene46	gene47	gene48	gene49	gene50	gene51	gene52	gene53	gene54	gene55	gene56	gene57	gene58	gene59	gene60	gene61	gene62	gene63	gene64	gene65	gene66	gene67	gene68	gene69	gene70	gene71	gene72	gene73	gene74	gene75	gene76	gene77	gene78	gene79	gene80	gene81	gene82	gene83	gene84	gene85	gene86	gene87	gene88	gene89	gene90	gene91	gene92	gene93	gene94	gene95	gene96	gene97	gene98	gene99	gene100
cell_type1_1	0	1	2	1	0	0	2	0	1	0	0	0	2	0	1	0	1	0	3	0	0	0	0	0	3	2	0	1	0	0	1	0	0	0	0	0	0	0	5	3	0	0	2	0	0	10	2	0	0	0	0	0	0	0	0	6	0	0	1	6	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	6	3	0	1	1	0	0	0	2	12	1	0	0	7	0	0	2	0	0	0	0	1	1
cell_type1_2	0	3	1	0	1	0	2	2	0	3	0	0	1	0	0	1	1	0	0	2	0	1	0	0	2	0	2	3	0	0	2	0	1	0	0	0	0	0	1	0	1	1	0	0	2	2	2	0	0	1	0	0	0	3	0	0	0	0	1	4	1	0	1	0	0	0	2	0	2	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	6	18	0	0	0	3	0	0	2	0	0	0	0	6	0
cell_type1_3	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	3	1	0	0	1	0	1	0	0	4	2	0	2	0	0	0	1	1	0	1	0	0	0	0	3	0	4	0	0	1	4	7	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	2	2	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	3	0	0	6	0	0	0	5	0	0	0	0	0	0	1	1	0
cell_type1_4	3	0	1	0	2	0	1	0	0	0	0	0	0	0	2	4	0	0	0	0	2	13	0	6	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	3	0	4	1	1	0	5	0	0	0	0	1	0	0	1	0	1	0	1	0	0	5	0	0	4	0	2	0	1	4	2	0	0	0	0	2	0	0	14	5	0	0	0	0	0	0	7	19	0	0	2	1	0	0	1	0	0	0	2	1	0
cell_type1_5	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	2	1	0	0	0	0	3	1	0	0	0	0	0	7	0	0	3	1	0	1	0	0	0	1	0	0	1	4	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	7	2	3	0	0	1	0	1	14	0	0	1	0	0	0	1	0	0	0	0	6	0
cell_type1_6	0	0	1	0	0	0	4	0	0	1	2	0	1	0	0	2	0	0	1	4	5	0	0	1	1	1	0	4	0	0	1	0	6	0	0	0	0	0	3	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	7	1	0	3	1	0	0	0	0	0	0	2	0	2	3	0	0	0	1	0	0	0	1	6	0	3	0	0	1	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0
cell_type1_7	0	1	0	1	5	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	2	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0	2	0	0	0	1	5	2	0	0	0	0	0	1	5	0	0	0	1	1	0	0	0	1	0	11	0	1	0	0	1	1	0	4	15	0	0	0	2	0	0	1	0	2	0	1	2	0
cell_type1_8	0	0	3	0	0	0	1	0	2	3	0	2	0	0	0	0	2	0	0	0	1	4	0	0	3	0	0	2	0	5	1	1	2	0	0	0	0	0	0	3	0	3	2	1	0	0	0	0	0	1	0	0	1	0	0	1	0	5	2	1	0	0	0	0	0	0	1	0	7	4	0	2	3	0	1	0	0	3	0	0	0	0	4	0	0	0	5	1	0	0	4	0	0	0	0	0	0	10	0	5
cell_type1_9	3	4	0	0	0	1	1	0	0	0	1	4	0	1	2	3	1	0	0	1	0	6	0	0	0	0	0	0	0	0	1	0	6	0	2	0	0	0	14	0	0	1	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	10	2	0	1	0	0	0	0	4	9	1	1	0	2	0	0	0	1	1	0	0	2	0
cell_type1_10	0	0	1	1	1	0	4	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	4	0	0	0	0	2	6	0	1	0	1	0	1	0	1	0	1	0	0	4	2	0	0	0	8	1	1	0	0	2	0	0	0	0	0	0	0	0	6	1	0	2	1	0	0	0	2	8	0	0	5	2	0	0	3	0	0	0	0	0	0
cell_type1_11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	4	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	4	0	1	0	1	2	1	0	0	0	1	0	0	6	0	0	6	3	1	2	0	1	0	1	12	0	0	0	2	0	0	6	0	1	0	0	0	0
cell_type1_12	0	1	0	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	2	1	0	0	1	1	0	0	2	0	0	0	0	4	0	1	0	1	1	0	6	0	0	0	0	0	0	1	1	4	0	1	0	3	0	1	1	7	2	5	0	0	1	1	1	1	33	0	0	1	0	0	0	2	0	0	0	2	0	0
cell_type1_13	1	0	1	1	1	0	1	0	0	5	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	2	1	0	1	0	0	0	0	1	0	2	0	3	3	1	1	1	0	0	1	4	0	0	0	1	0	1	1	0	0	2	3	1	0	6	1	0	4	0	2	0	0	0	0	1	0	6	0	14	5	2	0	0	0	1	0	1	22	0	1	1	3	0	0	0	0	0	0	5	4	0
cell_type1_14	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	3	10	4	0	0	0	0	0	0	0	1	0	1	6	1	0	1	0	0	10	1	10	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	4	1	4
cell_type1_15	0	5	2	1	0	0	3	1	1	0	0	0	0	0	5	1	1	0	0	0	0	2	0	1	0	4	2	0	0	2	3	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	5	0	0	3	0	3	2	0	2	9	0	0	0	3	0	1	1	0	3	0	0	0	0	1	1	2	0	0	8	0	0	0	1	0	0	2	28	0	0	0	1	0	0	1	0	0	0	0	0	1
cell_type1_16	0	3	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	6	0	1	0	0	1	0	0	0	0	0	0	4	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	7	0	8	3	0	0	0	2	1	0	7	7	0	0	0	3	0	0	0	0	0	1	0	0	0
cell_type1_17	0	0	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	4	0	2	0	2	5	0	0	0	1	0	2	2	1	0	0	1	0	0	2	0	0	1	2	1	0	0	2	2	0	0	0	2	0	0	4	0	1	2	0	1	4	3	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	3	5	5	4	0	2	2	0	0	2	10	0	0	0	1	0	0	0	0	0	0	3	0	1
cell_type1_18	1	1	0	0	0	0	3	0	1	3	0	0	0	0	0	0	2	0	1	0	8	2	0	1	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	1	1	1	0	0	0	6	0	0	2	2	0	0	1	1	1	0	1	0	0	3	3	0	1	0	1	1	0	0	5	2	0	0	0	0	0	1	0	9	4	0	0	0	0	2	1	3	10	1	0	0	0	0	0	2	0	0	0	0	1	0
cell_type1_19	0	3	1	1	0	0	1	1	0	3	0	0	0	0	3	0	2	5	0	0	3	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	1	0	0	0	0	1	0	0	1	2	2	0	0	0	0	0	0	2	1	0	0	3	1	0	0	4	0	1	8	0	0	1	2	1	0	1	11	1	1	0	5	0	0	2	0	0	0	1	5	0
cell_type1_20	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	4	0	1	6	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	1	0	3	1	0	1	2	1	1	0	0	0	0	0	0	0	0	4	8	5	0	0	1	0	0	0	24	0	0	1	7	0	0	4	0	0	0	0	1	0
cell_type1_21	0	4	0	3	0	0	0	0	2	4	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	1	0	0	3	0	5	0	3	5	2	0	0	0	0	0	0	4	0	2	0	0	5	0	3	0	1	4	6	2	2	0	0	4	1	0	0	4	3	0	0	0	0	0	1	0	0	0	0	1	2
cell_type1_22	1	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	2	3	1	1	1	0	0	0	0	4	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	8	2	0	5	2	0	0	0	0	1	4	0	1	2	6	4	0	0	1	0	1	2	0	3	1	0	0	0	1	0	1	0	7	5	3	0	0	0	0	0	2	10	2	0	0	0	0	0	1	0	1	0	0	2	3
cell_type1_23	0	5	0	0	3	0	1	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	6	0	0	1	0	2	0	2	0	1	2	3	2	2	1	4	0	0	1	0	1	0	1	0	0	0	0	5	1	12	10	0	0	0	0	1	0	4	5	0	2	0	5	0	0	3	0	0	0	0	0	0
cell_type1_24	0	0	1	0	1	0	1	0	1	4	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	8	0	0	1	0	0	0	0	0	1	5	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	4	1	0	0	0	3	0	1	1	0	5	0	0	0	0	1	0	1	9	0	0	1	3	0	0	3	0	0	0	0	2	0
cell_type1_25	0	0	1	3	0	0	2	2	2	1	1	1	0	0	0	2	0	0	0	0	1	1	0	2	0	2	0	5	1	3	0	1	0	0	0	0	0	0	5	0	0	1	0	0	0	8	1	0	3	1	0	0	0	0	0	8	1	0	0	2	0	0	1	1	1	1	2	0	0	0	0	0	0	2	0	2	0	6	3	6	2	0	0	0	0	5	8	0	0	2	10	0	0	3	0	0	0	2	0	0
cell_type1_26	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	1	2	1	1	1	0	2	3	0	0	0	0	0	2	0	3	1	0	1	2	3	0	0	0	1	0	0	1	1	0	0	1	0	0	2	4	0	0	0	3	0	3	0	0	0	0	0	0	0	0	2	1	3	1	2	0	0	0	2	0	1	24	0	0	0	0	0	0	1	0	0	0	1	0	1
cell_type1_27	0	1	0	3	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	2	0	0	4	0	2	1	0	0	0	0	1	0	0	0	1	1	1	2	0	1	0	0	0	6	0	0	1	2	0	0	0	0	0	0	1	0	0	0	3	0	1	0	1	0	0	0	2	0	0	1	0	0	0	1	0	6	2	3	2	0	0	1	0	2	10	0	0	1	5	0	0	1	0	1	0	4	1	0
cell_type1_28	0	1	0	0	0	0	0	0	3	5	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	2	2	4	5	0	1	0	2	3	0	1	0	2	0	0	0	0	1	0	0	1	2	0	0	0	3	0	0	0	0	0	2	0	0	1	3	1	0	0	5	1	0	0	0	0	2	0	1	11	0	0	1	3	0	0	1	0	0	0	0	1	0
cell_type1_29	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	2	0	0	9	1	2	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	8	0	1	0	0	0	4	0	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	4	0	1	4	0	0	4	0	1	1	2	6	1	0	2	0	1	0	1	0	0	0	0	5	0
cell_type1_30	0	2	0	1	2	1	0	3	1	1	0	0	2	0	0	1	0	0	0	1	4	0	0	1	0	0	3	0	0	0	1	0	4	0	0	0	0	0	5	0	0	3	1	0	0	2	4	0	0	2	0	0	0	1	0	0	0	1	1	4	0	0	0	1	1	0	1	1	3	0	1	2	0	1	0	1	0	3	5	0	0	0	1	1	0	0	3	2	0	0	4	0	0	0	0	0	0	1	6	0
cell_type1_31	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	1	3	1	0	3	0	4	0	0	0	0	1	0	0	0	3	7	0	3	1	0	0	2	1	0	1	0	0	0	2	0	0	1	0	0	1	0	8	0	9	0	2	1	0	0	5	0	0	1	0	3	0	1	0	3	3	1	2	0	0	0	0	2	2	0	1	3	2	0	0	0	0	0	0	1	1	0
cell_type1_32	0	0	2	1	0	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	4	4	0	1	0	1	0	4	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	3	0	5	0	0	0	1	0	0	0	0	10	0	5	0	0	1	0	0	2	5	0	1	0	0	0	0	0	0	0	0	0	1	0
cell_type1_33	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	1	2	2	0	0	0	1	2	0	0	0	0	1	0	2	3	0	3	3	0	1	11	4	0	0	1	0	0	0	1	1	0	0	2	1	0	2	0	3	2	2	0	0	0	1	0	0	0	0	0	0	0	0	10	20	6	1	0	0	1	0	2	7	0	1	2	7	0	0	0	0	0	0	1	0	0
cell_type1_34	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	3	4	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	3	4	0	0	1	0	0	0	0	3	0	0	0	1	0	4	1	0	0	1	0	0	1	0	0	4	0	0	1	0	0	0	0	16	2	3	0	1	1	0	0	1	16	0	1	1	3	0	0	1	0	0	0	1	3	0
cell_type1_35	0	2	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	1	6	3	1	0	0	0	6	0	1	0	0	0	1	2	0	0	0	0	1	3	5	1	1	0	1	0	2	5	0	0	3	1	0	0	0	2	0	0	1	0	5	0	0	0	0	0	0	0	0	3	0	0	1	0	0	2	2	0	8	3	1	2	0	0	1	0	0	5	1	0	0	4	0	0	9	0	0	0	4	0	1
cell_type1_36	0	1	0	2	0	1	0	1	0	1	0	1	0	0	1	2	0	0	0	1	2	2	0	0	0	0	0	9	0	0	0	2	2	0	0	0	0	1	4	0	0	5	1	0	0	1	1	0	1	9	4	0	0	0	1	2	0	7	4	14	0	1	0	0	2	1	4	0	7	0	0	1	0	2	0	1	1	3	4	0	1	0	2	0	0	2	1	1	1	0	1	0	0	0	1	0	0	0	0	1
cell_type1_37	0	0	3	0	2	1	2	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	2	1	3	0	4	0	2	1	1	0	0	0	0	1	2	0	0	1	1	3	1	0	0	0	2	1	2	1	2	0	2	0	0	0	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	2	1	9	1	0	4	0	0	0	0	3	16	0	0	0	10	0	0	0	1	0	0	2	1	0
cell_type1_38	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	3	2	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	1	0	2	0	3	2	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	4	2	0	0	0	0	1	5	0	0	1	0	0	0	0	3	5	3	0	0	0	0	0	1	6	1	0	0	4	0	0	0	0	0	1	0	0	0
cell_type1_39	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	2	0	2	1	0	5	0	0	0	2	0	1	0	1	0	0	6	1	0	0	0	0	1	3	1	2	2	0	0	3	3	0	0	1	4	0	0	1	0	0	0	1	0	0	7	0	1	4	0	0	2	0	0	0	0	0	0	0	0	1	0	2	6	3	0	0	0	0	0	3	10	0	0	1	1	0	0	0	0	0	0	0	6	1
cell_type1_40	1	2	0	1	5	0	1	1	0	6	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	2	4	0	1	1	0	2	9	0	0	0	0	2	1	0	0	0	0	0	2	1	11	1	0	0	3	0	1	0	2	1	1	0	5	0	1	0	1	0	4	4	2	0	4	0	0	0	0	1	1	0	2	3	0	0	0	0	0	0	0	0	0
cell_type1_41	2	3	0	0	0	0	1	1	0	3	0	0	0	0	0	3	2	0	5	1	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	4	0	0	0	1	0	0	0	9	0	1	0	0	0	0	2	0	0	1	0	0	2	0	2	0	0	0	0	0	0	3	0	4	8	0	1	0	2	4	0	3	11	0	0	0	2	0	0	0	0	0	0	0	1	0
cell_type1_42	0	0	0	0	1	0	1	0	0	0	0	6	0	0	1	3	0	0	0	0	0	2	0	1	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	6	0	0	7	0	0	0	1	3	0	0	0	0	1	3	2	0	1	0	0	0	8	2	2	2	0	1	0	2	0	0	0	3	1	3	0	0	0	1	0	1	13	0	1	0	5	0	0	2	0	0	0	2	1	0
cell_type1_43	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	1	0	0	0	0	1	7	0	1	2	0	2	0	0	0	0	1	1	7	1	0	0	1	0	6	0	0	2	4	0	0	0	1	0	0	0	0	3	6	0	0	4	9	2	1	0	0	10	2	0	0	0	0	0	2	0	7	3	0	0	0	0	2	0	3	14	0	0	2	0	0	0	1	0	0	0	2	0	0
cell_type1_44	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	2	5	0	1	0	0	1	5	0	0	0	0	0	1	0	0	0	0	2	7	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	5	7	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	7	2	8	0	0	0	3	0	0	12	0	0	0	6	0	0	1	1	0	0	0	0	0
cell_type1_45	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	1	0	0	1	1	0	0	1	0	1	1	8	6	0	2	0	0	2	2	0	1	0	0	0	0	3	0	2	0	6	15	2	0	1	0	4	0	1	13	0	0	1	10	0	0	1	0	0	0	0	6	0
cell_type1_46	0	0	2	0	1	0	0	0	0	4	0	1	0	0	2	0	0	0	4	0	0	0	2	2	0	0	0	0	0	2	0	1	2	0	0	0	1	0	0	4	0	0	1	1	0	7	2	0	2	0	0	1	0	2	0	0	0	0	2	3	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	2	1	8	10	1	1	0	1	3	0	3	9	0	0	1	15	0	0	0	0	0	0	0	0	0
cell_type1_47	0	0	0	2	7	0	0	6	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	1	1	0	3	0	3	2	0	0	0	0	1	0	2	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	2	8	3	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	3	2	0	2	3	0	0	0	1	20	1	0	6	3	1	0	0	0	0	0	13	0	2
cell_type1_48	0	2	0	0	0	0	0	1	0	2	1	0	0	0	1	2	3	1	1	1	5	1	0	0	0	0	2	1	0	1	1	1	3	1	0	0	0	0	3	2	0	1	1	0	2	4	1	0	0	0	4	0	0	0	0	4	0	5	3	1	0	0	0	2	0	1	0	3	2	0	0	4	8	0	0	3	0	9	9	2	0	0	1	0	0	2	16	2	0	0	1	0	0	0	0	6	0	2	1	3
cell_type1_49	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	3	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	2	0	6	7	3	3	0	0	2	1	0	0	0	8	2	0	1	0	0	0	0	0	2	5	1	1	0	2	2	0	1	3	1	0	0	1	0	0	0	0	1	0	0	1	0
cell_type1_50	0	0	1	4	1	0	1	2	2	13	0	0	0	0	0	7	0	0	1	0	0	4	1	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	4	0	6	9	0	1	0	0	1	0	0	7	2	0	0	2	0	0	0	0	0	0	0	2	4
cell_type1_51	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	2	0	1	3	1	0	3	0	2	0	0	0	0	2	0	0	0	0	2	2	2	2	1	1	0	0	2	5	0	0	0	1	0	5	0	10	4	0	0	1	1	4	0	2	12	1	0	0	2	0	0	1	0	0	0	0	1	0
cell_type1_52	1	3	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	6	2	0	0	0	0	9	0	0	1	0	1	0	0	4	0	0	0	0	5	2	0	0	0	0	0	2	0	0	3	0	0	0	0	5	1	2	0	11	15	0	0	0	1	0	0	4	13	0	0	4	2	0	0	2	0	0	0	0	2	0
