"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	10	15	11	13	14	16
"disease_spot2"	13	16	12	14	15	12
"disease_spot3"	16	12	11	11	15	16
"disease_spot4"	15	11	10	13	10	15
"disease_spot5"	13	10	14	13	10	14
"disease_spot6"	16	16	12	16	14	13
"disease_spot7"	10	14	15	15	14	16
"disease_spot8"	11	15	14	16	13	13
"disease_spot9"	13	15	11	14	10	11
"disease_spot10"	16	16	16	12	10	14
"disease_spot11"	14	14	16	14	10	10
"disease_spot12"	13	14	11	16	12	12
"disease_spot13"	14	16	10	16	16	12
"disease_spot14"	14	16	15	13	12	16
"disease_spot15"	13	10	10	11	14	15
"disease_spot16"	12	14	10	16	13	12
"disease_spot17"	11	12	14	12	10	14
"disease_spot18"	10	11	13	12	13	16
"disease_spot19"	13	13	16	10	10	16
"disease_spot20"	11	15	15	11	13	10
"disease_spot21"	14	11	12	15	14	16
"disease_spot22"	11	15	10	15	12	14
"disease_spot23"	15	16	14	11	14	10
"disease_spot24"	14	13	10	16	15	16
"disease_spot25"	14	14	14	14	14	15
"disease_spot26"	10	14	10	15	10	15
"disease_spot27"	13	15	13	16	12	13
"disease_spot28"	12	14	16	13	11	10
"disease_spot29"	10	13	12	10	13	13
"disease_spot30"	12	13	12	12	13	12
"disease_spot31"	11	10	16	13	14	10
"disease_spot32"	14	12	11	14	14	14
"disease_spot33"	12	13	15	12	10	16
"disease_spot34"	12	12	11	12	10	11
"disease_spot35"	13	10	11	14	15	12
"disease_spot36"	16	14	16	13	10	10
"disease_spot37"	12	13	15	11	14	11
"disease_spot38"	12	11	16	15	15	13
"disease_spot39"	12	16	16	12	14	12
"disease_spot40"	11	13	13	14	15	10
"disease_spot41"	14	11	12	14	11	13
"disease_spot42"	16	13	15	10	10	13
"disease_spot43"	10	10	13	12	16	12
"disease_spot44"	12	12	10	13	15	16
"disease_spot45"	10	11	13	14	14	12
"disease_spot46"	14	12	16	11	10	13
"disease_spot47"	12	16	14	13	14	14
"disease_spot48"	13	13	12	12	10	15
"disease_spot49"	11	16	13	12	14	14
"disease_spot50"	12	10	10	14	12	12
