"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	11	16	15	12	13	13
"disease_spot2"	14	10	15	11	15	16
"disease_spot3"	12	15	11	13	13	14
"disease_spot4"	12	12	13	13	10	14
"disease_spot5"	11	14	10	16	10	12
"disease_spot6"	15	14	16	15	13	13
"disease_spot7"	11	14	16	15	16	10
"disease_spot8"	10	12	12	14	10	10
"disease_spot9"	14	12	14	11	11	15
"disease_spot10"	14	13	14	12	12	12
"disease_spot11"	15	14	10	13	14	12
"disease_spot12"	15	14	16	11	11	11
"disease_spot13"	13	15	15	12	11	16
"disease_spot14"	15	11	14	12	15	15
"disease_spot15"	15	12	12	12	11	13
"disease_spot16"	10	11	14	12	12	16
"disease_spot17"	16	13	12	11	14	12
"disease_spot18"	10	12	11	16	13	14
"disease_spot19"	12	11	16	14	11	14
"disease_spot20"	14	14	14	15	14	14
"disease_spot21"	12	14	14	16	16	15
"disease_spot22"	15	12	11	15	14	16
"disease_spot23"	16	14	11	10	11	10
"disease_spot24"	10	12	16	13	12	11
"disease_spot25"	16	15	12	13	11	14
"disease_spot26"	12	15	14	10	12	16
"disease_spot27"	15	10	15	16	14	13
"disease_spot28"	14	14	15	11	16	14
"disease_spot29"	16	13	10	10	13	11
"disease_spot30"	10	11	16	10	15	16
"disease_spot31"	11	12	15	11	15	11
"disease_spot32"	15	12	15	13	10	12
"disease_spot33"	12	12	12	15	12	13
"disease_spot34"	15	16	11	12	15	13
"disease_spot35"	14	12	15	16	11	16
"disease_spot36"	11	16	10	12	10	12
"disease_spot37"	10	13	14	13	13	11
"disease_spot38"	14	15	12	10	13	10
"disease_spot39"	13	11	15	11	13	11
"disease_spot40"	16	16	14	11	10	16
"disease_spot41"	13	11	10	16	15	10
"disease_spot42"	11	13	13	14	14	15
"disease_spot43"	11	13	11	15	12	12
"disease_spot44"	11	12	16	11	15	11
"disease_spot45"	13	10	14	11	10	10
"disease_spot46"	12	10	15	12	10	11
"disease_spot47"	16	16	13	11	10	15
"disease_spot48"	13	10	13	13	13	14
"disease_spot49"	14	13	11	13	16	14
"disease_spot50"	14	12	14	11	16	16
