"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	16	16	10	15	13	11
"disease_spot2"	15	10	14	13	12	10
"disease_spot3"	14	15	16	13	12	15
"disease_spot4"	11	10	16	10	11	11
"disease_spot5"	10	13	14	15	11	14
"disease_spot6"	14	16	16	10	10	13
"disease_spot7"	14	13	13	12	15	16
"disease_spot8"	14	15	15	14	16	14
"disease_spot9"	14	11	14	15	11	16
"disease_spot10"	16	13	11	15	11	12
"disease_spot11"	13	15	15	13	10	13
"disease_spot12"	12	12	14	15	11	15
"disease_spot13"	14	14	10	12	10	12
"disease_spot14"	14	16	16	13	13	12
"disease_spot15"	16	10	12	15	16	12
"disease_spot16"	11	10	12	13	13	11
"disease_spot17"	14	12	16	13	10	15
"disease_spot18"	13	12	14	16	15	13
"disease_spot19"	15	12	14	10	16	16
"disease_spot20"	10	16	15	14	16	13
"disease_spot21"	14	10	14	16	10	14
"disease_spot22"	15	15	12	11	11	14
"disease_spot23"	13	16	11	16	10	10
"disease_spot24"	12	15	12	13	16	16
"disease_spot25"	12	15	15	16	16	12
"disease_spot26"	10	10	15	16	12	14
"disease_spot27"	12	11	10	10	13	14
"disease_spot28"	14	16	11	10	12	16
"disease_spot29"	13	10	12	15	14	16
"disease_spot30"	13	12	12	13	15	16
"disease_spot31"	11	15	12	15	15	16
"disease_spot32"	10	15	14	14	13	12
"disease_spot33"	10	11	13	14	10	15
"disease_spot34"	12	14	15	13	11	12
"disease_spot35"	14	16	10	11	13	15
"disease_spot36"	15	16	13	16	13	10
"disease_spot37"	13	13	15	14	11	10
"disease_spot38"	11	13	13	15	11	11
"disease_spot39"	12	10	13	15	15	11
"disease_spot40"	10	15	11	12	10	10
"disease_spot41"	15	14	10	12	14	14
"disease_spot42"	10	15	15	11	13	16
"disease_spot43"	15	16	11	14	16	16
"disease_spot44"	16	10	16	13	11	12
"disease_spot45"	13	13	12	11	14	10
"disease_spot46"	14	13	11	12	16	13
"disease_spot47"	10	15	11	15	11	13
"disease_spot48"	15	12	16	15	12	16
"disease_spot49"	12	10	12	14	12	15
"disease_spot50"	14	15	14	11	12	15
