"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	10	14	13	10	13	16
"disease_spot2"	15	14	12	13	16	10
"disease_spot3"	11	12	14	10	14	16
"disease_spot4"	15	16	14	10	12	14
"disease_spot5"	15	10	12	15	15	11
"disease_spot6"	12	16	10	10	12	14
"disease_spot7"	10	12	10	14	14	16
"disease_spot8"	11	13	14	14	14	15
"disease_spot9"	12	12	14	15	16	14
"disease_spot10"	12	11	16	16	13	15
"disease_spot11"	13	13	15	13	14	11
"disease_spot12"	13	11	11	10	13	15
"disease_spot13"	16	16	11	11	13	13
"disease_spot14"	12	14	12	14	16	16
"disease_spot15"	15	13	12	14	14	14
"disease_spot16"	11	10	12	14	15	10
"disease_spot17"	13	11	14	10	12	15
"disease_spot18"	11	15	15	16	13	14
"disease_spot19"	15	16	14	13	15	14
"disease_spot20"	16	14	11	12	11	11
"disease_spot21"	15	16	11	11	11	15
"disease_spot22"	16	16	15	16	12	11
"disease_spot23"	11	14	15	11	12	12
"disease_spot24"	16	12	11	11	10	10
"disease_spot25"	12	11	13	12	15	11
"disease_spot26"	11	11	12	16	16	12
"disease_spot27"	10	10	13	11	14	15
"disease_spot28"	11	11	16	16	14	12
"disease_spot29"	15	12	15	11	16	12
"disease_spot30"	12	13	16	16	13	15
"disease_spot31"	15	12	11	13	11	16
"disease_spot32"	14	12	10	16	12	14
"disease_spot33"	15	15	12	13	14	16
"disease_spot34"	13	11	10	13	10	16
"disease_spot35"	15	16	10	15	11	15
"disease_spot36"	10	12	15	10	11	15
"disease_spot37"	10	13	15	14	11	15
"disease_spot38"	13	11	10	13	14	13
"disease_spot39"	12	15	16	11	11	11
"disease_spot40"	10	12	10	12	12	13
"disease_spot41"	15	11	13	15	14	12
"disease_spot42"	13	10	10	12	11	15
"disease_spot43"	14	14	16	11	11	12
"disease_spot44"	14	11	14	10	13	11
"disease_spot45"	16	10	14	14	13	13
"disease_spot46"	14	13	14	11	16	12
"disease_spot47"	14	11	15	10	10	13
"disease_spot48"	11	13	15	12	12	15
"disease_spot49"	16	12	16	10	11	12
"disease_spot50"	13	15	10	11	10	16
