"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	13	14	13	15	11	13
"disease_spot2"	12	14	12	11	10	11
"disease_spot3"	10	11	13	12	13	13
"disease_spot4"	11	14	12	11	13	10
"disease_spot5"	15	10	13	15	11	12
"disease_spot6"	16	14	16	16	16	11
"disease_spot7"	12	15	10	15	13	14
"disease_spot8"	12	12	11	12	13	11
"disease_spot9"	12	15	16	16	13	16
"disease_spot10"	11	14	13	12	10	15
"disease_spot11"	10	11	14	15	11	12
"disease_spot12"	14	13	12	12	11	14
"disease_spot13"	15	12	14	15	11	13
"disease_spot14"	15	10	13	12	11	16
"disease_spot15"	10	16	15	15	12	11
"disease_spot16"	12	10	15	13	11	10
"disease_spot17"	13	15	14	11	13	12
"disease_spot18"	14	15	16	16	14	11
"disease_spot19"	13	12	11	13	12	13
"disease_spot20"	10	10	13	14	16	10
"disease_spot21"	10	14	13	13	15	10
"disease_spot22"	15	16	16	14	15	15
"disease_spot23"	15	11	14	14	14	12
"disease_spot24"	10	12	11	16	15	12
"disease_spot25"	12	16	10	16	13	12
"disease_spot26"	10	14	15	16	11	10
"disease_spot27"	10	13	15	15	15	15
"disease_spot28"	14	13	13	13	14	15
"disease_spot29"	11	15	16	13	15	14
"disease_spot30"	11	11	13	16	14	16
"disease_spot31"	10	13	14	14	16	11
"disease_spot32"	11	12	12	15	15	12
"disease_spot33"	16	11	12	15	16	10
"disease_spot34"	13	12	11	10	12	15
"disease_spot35"	14	16	14	10	11	14
"disease_spot36"	11	11	12	14	12	15
"disease_spot37"	11	12	10	15	13	11
"disease_spot38"	12	10	13	11	14	14
"disease_spot39"	14	15	11	15	14	16
"disease_spot40"	15	15	11	12	11	16
"disease_spot41"	15	13	14	12	11	16
"disease_spot42"	10	11	13	10	15	15
"disease_spot43"	15	14	13	10	14	10
"disease_spot44"	15	16	13	12	11	12
"disease_spot45"	14	11	16	16	11	15
"disease_spot46"	16	15	15	13	14	14
"disease_spot47"	16	11	16	11	14	16
"disease_spot48"	14	13	11	13	15	14
"disease_spot49"	13	14	11	14	13	14
"disease_spot50"	12	14	13	11	10	14
