"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	14	12	13	16	15	15
"disease_spot2"	14	10	10	12	13	12
"disease_spot3"	15	12	14	14	13	10
"disease_spot4"	14	12	12	15	14	13
"disease_spot5"	16	11	12	10	16	13
"disease_spot6"	13	15	15	12	13	15
"disease_spot7"	12	13	12	11	16	12
"disease_spot8"	15	15	13	15	11	16
"disease_spot9"	15	16	10	10	14	10
"disease_spot10"	16	15	10	16	15	10
"disease_spot11"	12	12	12	12	16	12
"disease_spot12"	14	16	15	10	16	12
"disease_spot13"	13	16	13	16	11	15
"disease_spot14"	14	13	10	11	10	11
"disease_spot15"	10	11	10	10	15	11
"disease_spot16"	13	12	10	12	11	15
"disease_spot17"	14	11	15	13	16	16
"disease_spot18"	11	12	16	15	13	11
"disease_spot19"	15	10	16	14	10	16
"disease_spot20"	15	15	11	12	14	11
"disease_spot21"	13	14	11	13	15	15
"disease_spot22"	16	14	16	12	12	10
"disease_spot23"	13	15	10	13	12	15
"disease_spot24"	14	10	16	13	12	16
"disease_spot25"	10	10	11	10	12	15
"disease_spot26"	11	11	13	12	11	10
"disease_spot27"	13	13	10	15	15	10
"disease_spot28"	11	15	15	11	10	13
"disease_spot29"	15	13	11	10	15	11
"disease_spot30"	16	16	14	13	14	11
"disease_spot31"	13	14	12	11	11	15
"disease_spot32"	13	14	12	10	11	16
"disease_spot33"	14	16	11	15	12	14
"disease_spot34"	16	13	14	13	10	14
"disease_spot35"	10	10	14	12	15	16
"disease_spot36"	11	11	10	13	10	11
"disease_spot37"	11	11	14	11	15	11
"disease_spot38"	10	12	12	11	15	10
"disease_spot39"	12	12	14	13	12	10
"disease_spot40"	13	12	13	16	15	10
"disease_spot41"	14	14	10	11	15	13
"disease_spot42"	16	15	16	11	16	16
"disease_spot43"	16	10	10	10	15	10
"disease_spot44"	15	15	12	11	10	11
"disease_spot45"	10	10	11	13	16	11
"disease_spot46"	15	13	12	16	10	13
"disease_spot47"	13	14	10	15	10	14
"disease_spot48"	11	16	12	12	11	11
"disease_spot49"	13	14	12	14	13	16
"disease_spot50"	13	15	16	14	13	13
